date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:49	36741/36741	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:50:49%20GMT	https://souscription.sonaturbf.net/	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/index.html	(from )
03:50:59	2934019/2934019	---M-Z	200	added ('OK')	text/css	etag:W/%222cc503-cyTPK4s7rX9aC3Y3NNaHIxjV1fQ%22	https://cdn.jsdelivr.net/npm/tailwindcss@2.2.19/dist/tailwind.min.css	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/cdn.jsdelivr.net/npm/tailwindcss@2.2.19/dist/tailwind.min.css	(from https://souscription.sonaturbf.net/)
03:51:01	44799/44799	---M-Z	200	added ('OK')	application/javascript	etag:W/%22aeff-VUekZ4usLV2iyqUhKz/ziDmhz0M%22	https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js	(from https://souscription.sonaturbf.net/)
03:51:03	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://souscription.sonaturbf.net/)
03:51:24	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/logo.png	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/logo.4.delayed	(from https://souscription.sonaturbf.net/)
03:51:24	36741/36741	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:51:24%20GMT	https://souscription.sonaturbf.net/index.php	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/index-2.html	(from https://souscription.sonaturbf.net/)
03:51:53	11231/11231	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:51:53%20GMT	https://souscription.sonaturbf.net/index.php?page=contact	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/index53a6.html	(from https://souscription.sonaturbf.net/)
03:51:54	11231/11231	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:51:54%20GMT	https://souscription.sonaturbf.net/index.php?page=recherche-quittance	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/index7d78.html	(from https://souscription.sonaturbf.net/)
03:51:54	27510/27510	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:51:54%20GMT	https://souscription.sonaturbf.net/index.php?page=souscrire	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/index12ce.html	(from https://souscription.sonaturbf.net/)
03:51:55	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/hero-image.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/hero-image.jpg	(from https://souscription.sonaturbf.net/)
03:51:55	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/tougan.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/tougan.jpg	(from https://souscription.sonaturbf.net/)
